date,COST stock,isPartial
2015-03-01,79,False
2015-03-02,92,False
2015-03-03,69,False
2015-03-04,91,False
2015-03-05,75,False
2015-03-06,61,False
2015-03-07,71,False
2015-03-08,67,False
2015-03-09,81,False
2015-03-10,88,False
2015-03-11,78,False
2015-03-12,73,False
2015-03-13,69,False
2015-03-14,58,False
2015-03-15,56,False
2015-03-16,71,False
2015-03-17,96,False
2015-03-18,81,False
2015-03-19,68,False
2015-03-20,92,False
2015-03-21,60,False
2015-03-22,71,False
2015-03-23,95,False
2015-03-24,92,False
2015-03-25,82,False
2015-03-26,55,False
2015-03-27,80,False
2015-03-28,64,False
2015-03-29,62,False
2015-03-30,87,False
2015-03-31,100,False
