date,MCD stock,isPartial
2015-11-01,36,False
2015-11-02,30,False
2015-11-03,45,False
2015-11-04,50,False
2015-11-05,15,False
2015-11-06,26,False
2015-11-07,35,False
2015-11-08,12,False
2015-11-09,35,False
2015-11-10,100,False
2015-11-11,42,False
2015-11-12,41,False
2015-11-13,37,False
2015-11-14,12,False
2015-11-15,23,False
2015-11-16,50,False
2015-11-17,65,False
2015-11-18,30,False
2015-11-19,72,False
2015-11-20,21,False
2015-11-21,12,False
2015-11-22,0,False
2015-11-23,25,False
2015-11-24,40,False
2015-11-25,35,False
2015-11-26,16,False
2015-11-27,26,False
2015-11-28,18,False
2015-11-29,0,False
2015-11-30,49,False
