date,PHG stock,isPartial
2013-07-01,63,False
2013-07-02,63,False
2013-07-03,64,False
2013-07-04,0,False
2013-07-05,0,False
2013-07-06,0,False
2013-07-07,0,False
2013-07-08,0,False
2013-07-09,0,False
2013-07-10,64,False
2013-07-11,64,False
2013-07-12,68,False
2013-07-13,78,False
2013-07-14,0,False
2013-07-15,0,False
2013-07-16,0,False
2013-07-17,65,False
2013-07-18,65,False
2013-07-19,100,False
2013-07-20,78,False
2013-07-21,0,False
2013-07-22,64,False
2013-07-23,62,False
2013-07-24,64,False
2013-07-25,65,False
2013-07-26,66,False
2013-07-27,0,False
2013-07-28,77,False
2013-07-29,63,False
2013-07-30,62,False
2013-07-31,0,False
