date,FB stock,isPartial
2015-04-01,33,False
2015-04-02,47,False
2015-04-03,31,False
2015-04-04,13,False
2015-04-05,19,False
2015-04-06,43,False
2015-04-07,38,False
2015-04-08,32,False
2015-04-09,43,False
2015-04-10,35,False
2015-04-11,10,False
2015-04-12,6,False
2015-04-13,35,False
2015-04-14,33,False
2015-04-15,46,False
2015-04-16,38,False
2015-04-17,49,False
2015-04-18,18,False
2015-04-19,16,False
2015-04-20,41,False
2015-04-21,49,False
2015-04-22,100,False
2015-04-23,97,False
2015-04-24,63,False
2015-04-25,25,False
2015-04-26,14,False
2015-04-27,50,False
2015-04-28,54,False
2015-04-29,58,False
2015-04-30,38,False
