date,PHG stock,isPartial
2017-03-01,46,False
2017-03-02,0,False
2017-03-03,0,False
2017-03-04,54,False
2017-03-05,0,False
2017-03-06,46,False
2017-03-07,0,False
2017-03-08,48,False
2017-03-09,0,False
2017-03-10,0,False
2017-03-11,0,False
2017-03-12,0,False
2017-03-13,0,False
2017-03-14,0,False
2017-03-15,48,False
2017-03-16,0,False
2017-03-17,51,False
2017-03-18,0,False
2017-03-19,0,False
2017-03-20,73,False
2017-03-21,0,False
2017-03-22,48,False
2017-03-23,49,False
2017-03-24,100,False
2017-03-25,56,False
2017-03-26,55,False
2017-03-27,0,False
2017-03-28,49,False
2017-03-29,49,False
2017-03-30,99,False
2017-03-31,51,False
