date,SIRI stock,isPartial
2016-11-01,18,False
2016-11-02,16,False
2016-11-03,19,False
2016-11-04,20,False
2016-11-05,10,False
2016-11-06,7,False
2016-11-07,29,False
2016-11-08,21,False
2016-11-09,62,False
2016-11-10,53,False
2016-11-11,47,False
2016-11-12,37,False
2016-11-13,13,False
2016-11-14,64,False
2016-11-15,100,False
2016-11-16,46,False
2016-11-17,56,False
2016-11-18,72,False
2016-11-19,20,False
2016-11-20,9,False
2016-11-21,32,False
2016-11-22,86,False
2016-11-23,62,False
2016-11-24,12,False
2016-11-25,30,False
2016-11-26,13,False
2016-11-27,6,False
2016-11-28,42,False
2016-11-29,42,False
2016-11-30,45,False
