date,ODP stock,isPartial
2018-10-01,34,False
2018-10-02,77,False
2018-10-03,34,False
2018-10-04,52,False
2018-10-05,36,False
2018-10-06,0,False
2018-10-07,57,False
2018-10-08,39,False
2018-10-09,42,False
2018-10-10,35,False
2018-10-11,53,False
2018-10-12,56,False
2018-10-13,31,False
2018-10-14,0,False
2018-10-15,26,False
2018-10-16,65,False
2018-10-17,44,False
2018-10-18,53,False
2018-10-19,55,False
2018-10-20,0,False
2018-10-21,30,False
2018-10-22,26,False
2018-10-23,43,False
2018-10-24,26,False
2018-10-25,52,False
2018-10-26,100,False
2018-10-27,0,False
2018-10-28,29,False
2018-10-29,42,False
2018-10-30,52,False
2018-10-31,27,False
