date,GS stock,isPartial
2012-12-01,0,False
2012-12-02,30,False
2012-12-03,0,False
2012-12-04,25,False
2012-12-05,37,False
2012-12-06,51,False
2012-12-07,27,False
2012-12-08,62,False
2012-12-09,30,False
2012-12-10,100,False
2012-12-11,37,False
2012-12-12,42,False
2012-12-13,26,False
2012-12-14,66,False
2012-12-15,30,False
2012-12-16,0,False
2012-12-17,34,False
2012-12-18,25,False
2012-12-19,26,False
2012-12-20,52,False
2012-12-21,28,False
2012-12-22,63,False
2012-12-23,32,False
2012-12-24,32,False
2012-12-25,34,False
2012-12-26,44,False
2012-12-27,54,False
2012-12-28,46,False
2012-12-29,46,False
2012-12-30,31,False
2012-12-31,31,False
