date,TWTR,isPartial
2014-06-01,17,False
2014-06-02,64,False
2014-06-03,67,False
2014-06-04,70,False
2014-06-05,96,False
2014-06-06,72,False
2014-06-07,23,False
2014-06-08,15,False
2014-06-09,67,False
2014-06-10,74,False
2014-06-11,80,False
2014-06-12,100,False
2014-06-13,82,False
2014-06-14,33,False
2014-06-15,18,False
2014-06-16,59,False
2014-06-17,80,False
2014-06-18,60,False
2014-06-19,69,False
2014-06-20,66,False
2014-06-21,23,False
2014-06-22,16,False
2014-06-23,57,False
2014-06-24,62,False
2014-06-25,58,False
2014-06-26,85,False
2014-06-27,82,False
2014-06-28,26,False
2014-06-29,8,False
2014-06-30,74,False
