date,CTSH stock,isPartial
2016-05-01,0,False
2016-05-02,41,False
2016-05-03,40,False
2016-05-04,20,False
2016-05-05,52,False
2016-05-06,86,False
2016-05-07,48,False
2016-05-08,24,False
2016-05-09,71,False
2016-05-10,100,False
2016-05-11,50,False
2016-05-12,40,False
2016-05-13,21,False
2016-05-14,0,False
2016-05-15,23,False
2016-05-16,40,False
2016-05-17,80,False
2016-05-18,20,False
2016-05-19,50,False
2016-05-20,64,False
2016-05-21,0,False
2016-05-22,47,False
2016-05-23,30,False
2016-05-24,50,False
2016-05-25,82,False
2016-05-26,42,False
2016-05-27,22,False
2016-05-28,48,False
2016-05-29,24,False
2016-05-30,21,False
2016-05-31,30,False
