date,HAS stock,isPartial
2012-11-01,66,False
2012-11-02,79,False
2012-11-03,61,False
2012-11-04,75,False
2012-11-05,68,False
2012-11-06,77,False
2012-11-07,93,False
2012-11-08,85,False
2012-11-09,75,False
2012-11-10,41,False
2012-11-11,47,False
2012-11-12,65,False
2012-11-13,74,False
2012-11-14,82,False
2012-11-15,70,False
2012-11-16,67,False
2012-11-17,47,False
2012-11-18,67,False
2012-11-19,93,False
2012-11-20,77,False
2012-11-21,46,False
2012-11-22,35,False
2012-11-23,51,False
2012-11-24,58,False
2012-11-25,86,False
2012-11-26,80,False
2012-11-27,100,False
2012-11-28,67,False
2012-11-29,62,False
2012-11-30,56,False
