date,SIRI stock,isPartial
2019-02-01,99,False
2019-02-02,44,False
2019-02-03,28,False
2019-02-04,100,False
2019-02-05,71,False
2019-02-06,67,False
2019-02-07,57,False
2019-02-08,77,False
2019-02-09,20,False
2019-02-10,24,False
2019-02-11,48,False
2019-02-12,52,False
2019-02-13,74,False
2019-02-14,90,False
2019-02-15,78,False
2019-02-16,33,False
2019-02-17,0,False
2019-02-18,7,False
2019-02-19,63,False
2019-02-20,53,False
2019-02-21,60,False
2019-02-22,85,False
2019-02-23,20,False
2019-02-24,32,False
2019-02-25,49,False
2019-02-26,81,False
2019-02-27,41,False
2019-02-28,79,False
