date,BA stock,isPartial
2018-01-01,5,False
2018-01-02,22,False
2018-01-03,30,False
2018-01-04,29,False
2018-01-05,49,False
2018-01-06,18,False
2018-01-07,8,False
2018-01-08,33,False
2018-01-09,50,False
2018-01-10,53,False
2018-01-11,53,False
2018-01-12,59,False
2018-01-13,17,False
2018-01-14,10,False
2018-01-15,21,False
2018-01-16,58,False
2018-01-17,64,False
2018-01-18,84,False
2018-01-19,58,False
2018-01-20,13,False
2018-01-21,12,False
2018-01-22,38,False
2018-01-23,57,False
2018-01-24,43,False
2018-01-25,43,False
2018-01-26,58,False
2018-01-27,18,False
2018-01-28,11,False
2018-01-29,42,False
2018-01-30,55,False
2018-01-31,100,False
