date,DIS stock,isPartial
2017-08-01,17,False
2017-08-02,31,False
2017-08-03,22,False
2017-08-04,21,False
2017-08-05,4,False
2017-08-06,6,False
2017-08-07,20,False
2017-08-08,72,False
2017-08-09,100,False
2017-08-10,51,False
2017-08-11,23,False
2017-08-12,10,False
2017-08-13,4,False
2017-08-14,18,False
2017-08-15,18,False
2017-08-16,28,False
2017-08-17,12,False
2017-08-18,14,False
2017-08-19,10,False
2017-08-20,4,False
2017-08-21,17,False
2017-08-22,17,False
2017-08-23,16,False
2017-08-24,24,False
2017-08-25,15,False
2017-08-26,2,False
2017-08-27,2,False
2017-08-28,21,False
2017-08-29,20,False
2017-08-30,10,False
2017-08-31,19,False
