date,FB stock,isPartial
2012-02-01,53,False
2012-02-02,100,False
2012-02-03,57,False
2012-02-04,25,False
2012-02-05,19,False
2012-02-06,29,False
2012-02-07,14,False
2012-02-08,18,False
2012-02-09,12,False
2012-02-10,11,False
2012-02-11,5,False
2012-02-12,6,False
2012-02-13,11,False
2012-02-14,14,False
2012-02-15,8,False
2012-02-16,10,False
2012-02-17,6,False
2012-02-18,10,False
2012-02-19,3,False
2012-02-20,7,False
2012-02-21,8,False
2012-02-22,0,False
2012-02-23,10,False
2012-02-24,3,False
2012-02-25,3,False
2012-02-26,10,False
2012-02-27,12,False
2012-02-28,11,False
2012-02-29,7,False
