date,TWTR stock,isPartial
2018-04-01,2,False
2018-04-02,45,False
2018-04-03,34,False
2018-04-04,22,False
2018-04-05,49,False
2018-04-06,35,False
2018-04-07,5,False
2018-04-08,2,False
2018-04-09,27,False
2018-04-10,31,False
2018-04-11,38,False
2018-04-12,32,False
2018-04-13,39,False
2018-04-14,9,False
2018-04-15,7,False
2018-04-16,29,False
2018-04-17,66,False
2018-04-18,54,False
2018-04-19,34,False
2018-04-20,47,False
2018-04-21,6,False
2018-04-22,4,False
2018-04-23,38,False
2018-04-24,51,False
2018-04-25,100,False
2018-04-26,74,False
2018-04-27,40,False
2018-04-28,4,False
2018-04-29,2,False
2018-04-30,62,False
