date,SYMC stock,isPartial
2015-11-01,0,False
2015-11-02,34,False
2015-11-03,33,False
2015-11-04,51,False
2015-11-05,52,False
2015-11-06,36,False
2015-11-07,40,False
2015-11-08,0,False
2015-11-09,100,False
2015-11-10,34,False
2015-11-11,35,False
2015-11-12,0,False
2015-11-13,35,False
2015-11-14,0,False
2015-11-15,39,False
2015-11-16,34,False
2015-11-17,0,False
2015-11-18,68,False
2015-11-19,0,False
2015-11-20,0,False
2015-11-21,40,False
2015-11-22,0,False
2015-11-23,69,False
2015-11-24,51,False
2015-11-25,0,False
2015-11-26,35,False
2015-11-27,36,False
2015-11-28,0,False
2015-11-29,39,False
2015-11-30,0,False
