date,MCD stock,isPartial
2012-06-01,60,False
2012-06-02,27,False
2012-06-03,26,False
2012-06-04,56,False
2012-06-05,64,False
2012-06-06,50,False
2012-06-07,59,False
2012-06-08,60,False
2012-06-09,93,False
2012-06-10,53,False
2012-06-11,42,False
2012-06-12,28,False
2012-06-13,57,False
2012-06-14,36,False
2012-06-15,60,False
2012-06-16,80,False
2012-06-17,0,False
2012-06-18,78,False
2012-06-19,74,False
2012-06-20,79,False
2012-06-21,51,False
2012-06-22,91,False
2012-06-23,41,False
2012-06-24,53,False
2012-06-25,43,False
2012-06-26,36,False
2012-06-27,75,False
2012-06-28,36,False
2012-06-29,100,False
2012-06-30,27,False
