date,PEP stock,isPartial
2012-07-01,48,False
2012-07-02,39,False
2012-07-03,58,False
2012-07-04,41,False
2012-07-05,40,False
2012-07-06,0,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,58,False
2012-07-10,39,False
2012-07-11,79,False
2012-07-12,59,False
2012-07-13,0,False
2012-07-14,49,False
2012-07-15,48,False
2012-07-16,39,False
2012-07-17,96,False
2012-07-18,39,False
2012-07-19,40,False
2012-07-20,41,False
2012-07-21,49,False
2012-07-22,49,False
2012-07-23,39,False
2012-07-24,53,False
2012-07-25,39,False
2012-07-26,100,False
2012-07-27,55,False
2012-07-28,49,False
2012-07-29,72,False
2012-07-30,39,False
2012-07-31,39,False
