date,TWTR,isPartial
2013-07-01,100,False
2013-07-02,40,False
2013-07-03,40,False
2013-07-04,21,False
2013-07-05,65,False
2013-07-06,38,False
2013-07-07,50,False
2013-07-08,40,False
2013-07-09,81,False
2013-07-10,31,False
2013-07-11,93,False
2013-07-12,86,False
2013-07-13,50,False
2013-07-14,37,False
2013-07-15,20,False
2013-07-16,50,False
2013-07-17,51,False
2013-07-18,42,False
2013-07-19,74,False
2013-07-20,50,False
2013-07-21,100,False
2013-07-22,81,False
2013-07-23,30,False
2013-07-24,41,False
2013-07-25,52,False
2013-07-26,54,False
2013-07-27,75,False
2013-07-28,74,False
2013-07-29,50,False
2013-07-30,40,False
2013-07-31,30,False
