date,HD stock,isPartial
2019-01-01,28,False
2019-01-02,74,False
2019-01-03,94,False
2019-01-04,93,False
2019-01-05,41,False
2019-01-06,22,False
2019-01-07,56,False
2019-01-08,100,False
2019-01-09,62,False
2019-01-10,66,False
2019-01-11,73,False
2019-01-12,41,False
2019-01-13,28,False
2019-01-14,60,False
2019-01-15,65,False
2019-01-16,61,False
2019-01-17,74,False
2019-01-18,62,False
2019-01-19,31,False
2019-01-20,30,False
2019-01-21,44,False
2019-01-22,46,False
2019-01-23,67,False
2019-01-24,51,False
2019-01-25,68,False
2019-01-26,29,False
2019-01-27,34,False
2019-01-28,30,False
2019-01-29,59,False
2019-01-30,73,False
2019-01-31,49,False
