date,AMZN stock,isPartial
2013-03-01,34,False
2013-03-02,0,False
2013-03-03,52,False
2013-03-04,22,False
2013-03-05,65,False
2013-03-06,65,False
2013-03-07,77,False
2013-03-08,91,False
2013-03-09,25,False
2013-03-10,25,False
2013-03-11,32,False
2013-03-12,21,False
2013-03-13,32,False
2013-03-14,43,False
2013-03-15,100,False
2013-03-16,25,False
2013-03-17,25,False
2013-03-18,64,False
2013-03-19,74,False
2013-03-20,54,False
2013-03-21,65,False
2013-03-22,78,False
2013-03-23,25,False
2013-03-24,76,False
2013-03-25,43,False
2013-03-26,21,False
2013-03-27,22,False
2013-03-28,46,False
2013-03-29,62,False
2013-03-30,27,False
2013-03-31,0,False
