date,NFLX stock,isPartial
2017-08-01,43,False
2017-08-02,52,False
2017-08-03,28,False
2017-08-04,43,False
2017-08-05,10,False
2017-08-06,5,False
2017-08-07,38,False
2017-08-08,78,False
2017-08-09,100,False
2017-08-10,42,False
2017-08-11,34,False
2017-08-12,8,False
2017-08-13,8,False
2017-08-14,58,False
2017-08-15,51,False
2017-08-16,35,False
2017-08-17,37,False
2017-08-18,41,False
2017-08-19,5,False
2017-08-20,2,False
2017-08-21,15,False
2017-08-22,37,False
2017-08-23,26,False
2017-08-24,32,False
2017-08-25,25,False
2017-08-26,0,False
2017-08-27,7,False
2017-08-28,24,False
2017-08-29,28,False
2017-08-30,30,False
2017-08-31,35,False
