date,ATVI stock,isPartial
2013-08-01,49,False
2013-08-02,34,False
2013-08-03,40,False
2013-08-04,100,False
2013-08-05,76,False
2013-08-06,98,False
2013-08-07,33,False
2013-08-08,0,False
2013-08-09,35,False
2013-08-10,0,False
2013-08-11,39,False
2013-08-12,32,False
2013-08-13,32,False
2013-08-14,33,False
2013-08-15,0,False
2013-08-16,34,False
2013-08-17,39,False
2013-08-18,0,False
2013-08-19,65,False
2013-08-20,64,False
2013-08-21,48,False
2013-08-22,65,False
2013-08-23,56,False
2013-08-24,77,False
2013-08-25,38,False
2013-08-26,31,False
2013-08-27,62,False
2013-08-28,62,False
2013-08-29,0,False
2013-08-30,44,False
2013-08-31,57,False
