date,HD stock,isPartial
2015-11-01,21,False
2015-11-02,78,False
2015-11-03,65,False
2015-11-04,83,False
2015-11-05,76,False
2015-11-06,62,False
2015-11-07,49,False
2015-11-08,48,False
2015-11-09,83,False
2015-11-10,100,False
2015-11-11,30,False
2015-11-12,55,False
2015-11-13,69,False
2015-11-14,77,False
2015-11-15,34,False
2015-11-16,88,False
2015-11-17,82,False
2015-11-18,94,False
2015-11-19,48,False
2015-11-20,86,False
2015-11-21,83,False
2015-11-22,54,False
2015-11-23,71,False
2015-11-24,99,False
2015-11-25,77,False
2015-11-26,68,False
2015-11-27,44,False
2015-11-28,34,False
2015-11-29,34,False
2015-11-30,98,False
