date,PEP stock,isPartial
2018-06-01,49,False
2018-06-02,75,False
2018-06-03,20,False
2018-06-04,63,False
2018-06-05,63,False
2018-06-06,72,False
2018-06-07,59,False
2018-06-08,71,False
2018-06-09,22,False
2018-06-10,20,False
2018-06-11,66,False
2018-06-12,70,False
2018-06-13,83,False
2018-06-14,71,False
2018-06-15,80,False
2018-06-16,15,False
2018-06-17,15,False
2018-06-18,59,False
2018-06-19,100,False
2018-06-20,42,False
2018-06-21,76,False
2018-06-22,74,False
2018-06-23,44,False
2018-06-24,0,False
2018-06-25,54,False
2018-06-26,100,False
2018-06-27,75,False
2018-06-28,34,False
2018-06-29,63,False
2018-06-30,34,False
