date,GILD stock,isPartial
2018-05-01,66,False
2018-05-02,100,False
2018-05-03,70,False
2018-05-04,51,False
2018-05-05,14,False
2018-05-06,0,False
2018-05-07,42,False
2018-05-08,39,False
2018-05-09,30,False
2018-05-10,31,False
2018-05-11,65,False
2018-05-12,11,False
2018-05-13,27,False
2018-05-14,42,False
2018-05-15,35,False
2018-05-16,47,False
2018-05-17,38,False
2018-05-18,34,False
2018-05-19,5,False
2018-05-20,6,False
2018-05-21,17,False
2018-05-22,28,False
2018-05-23,35,False
2018-05-24,33,False
2018-05-25,30,False
2018-05-26,8,False
2018-05-27,11,False
2018-05-28,10,False
2018-05-29,28,False
2018-05-30,30,False
2018-05-31,38,False
