date,TSLA stock,isPartial
2012-07-01,0,False
2012-07-02,39,False
2012-07-03,39,False
2012-07-04,0,False
2012-07-05,80,False
2012-07-06,41,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,0,False
2012-07-10,0,False
2012-07-11,40,False
2012-07-12,40,False
2012-07-13,0,False
2012-07-14,0,False
2012-07-15,48,False
2012-07-16,78,False
2012-07-17,58,False
2012-07-18,0,False
2012-07-19,40,False
2012-07-20,82,False
2012-07-21,49,False
2012-07-22,0,False
2012-07-23,78,False
2012-07-24,40,False
2012-07-25,39,False
2012-07-26,100,False
2012-07-27,62,False
2012-07-28,49,False
2012-07-29,49,False
2012-07-30,39,False
2012-07-31,0,False
