date,PEP stock,isPartial
2016-12-01,88,False
2016-12-02,73,False
2016-12-03,40,False
2016-12-04,19,False
2016-12-05,69,False
2016-12-06,62,False
2016-12-07,68,False
2016-12-08,100,False
2016-12-09,54,False
2016-12-10,27,False
2016-12-11,29,False
2016-12-12,39,False
2016-12-13,68,False
2016-12-14,69,False
2016-12-15,65,False
2016-12-16,62,False
2016-12-17,41,False
2016-12-18,20,False
2016-12-19,54,False
2016-12-20,78,False
2016-12-21,25,False
2016-12-22,57,False
2016-12-23,46,False
2016-12-24,22,False
2016-12-25,23,False
2016-12-26,29,False
2016-12-27,31,False
2016-12-28,50,False
2016-12-29,56,False
2016-12-30,59,False
2016-12-31,21,False
