date,PFE stock,isPartial
2018-01-01,4,False
2018-01-02,23,False
2018-01-03,27,False
2018-01-04,47,False
2018-01-05,43,False
2018-01-06,7,False
2018-01-07,13,False
2018-01-08,52,False
2018-01-09,44,False
2018-01-10,36,False
2018-01-11,53,False
2018-01-12,50,False
2018-01-13,11,False
2018-01-14,11,False
2018-01-15,13,False
2018-01-16,43,False
2018-01-17,38,False
2018-01-18,39,False
2018-01-19,24,False
2018-01-20,11,False
2018-01-21,5,False
2018-01-22,19,False
2018-01-23,43,False
2018-01-24,34,False
2018-01-25,32,False
2018-01-26,71,False
2018-01-27,20,False
2018-01-28,11,False
2018-01-29,55,False
2018-01-30,100,False
2018-01-31,64,False
