date,EA stock,isPartial
2014-05-01,28,False
2014-05-02,27,False
2014-05-03,20,False
2014-05-04,10,False
2014-05-05,20,False
2014-05-06,56,False
2014-05-07,100,False
2014-05-08,87,False
2014-05-09,68,False
2014-05-10,35,False
2014-05-11,33,False
2014-05-12,41,False
2014-05-13,63,False
2014-05-14,28,False
2014-05-15,37,False
2014-05-16,37,False
2014-05-17,20,False
2014-05-18,10,False
2014-05-19,47,False
2014-05-20,50,False
2014-05-21,36,False
2014-05-22,49,False
2014-05-23,19,False
2014-05-24,11,False
2014-05-25,11,False
2014-05-26,16,False
2014-05-27,33,False
2014-05-28,31,False
2014-05-29,24,False
2014-05-30,26,False
2014-05-31,11,False
