date,ADBE stock,isPartial
2017-09-01,9,False
2017-09-02,10,False
2017-09-03,0,False
2017-09-04,0,False
2017-09-05,9,False
2017-09-06,18,False
2017-09-07,44,False
2017-09-08,18,False
2017-09-09,10,False
2017-09-10,0,False
2017-09-11,13,False
2017-09-12,13,False
2017-09-13,13,False
2017-09-14,18,False
2017-09-15,18,False
2017-09-16,10,False
2017-09-17,0,False
2017-09-18,26,False
2017-09-19,90,False
2017-09-20,100,False
2017-09-21,75,False
2017-09-22,27,False
2017-09-23,10,False
2017-09-24,0,False
2017-09-25,48,False
2017-09-26,38,False
2017-09-27,22,False
2017-09-28,22,False
2017-09-29,41,False
2017-09-30,10,False
