date,TXN stock,isPartial
2019-01-01,9,False
2019-01-02,36,False
2019-01-03,74,False
2019-01-04,22,False
2019-01-05,16,False
2019-01-06,24,False
2019-01-07,24,False
2019-01-08,41,False
2019-01-09,41,False
2019-01-10,59,False
2019-01-11,46,False
2019-01-12,19,False
2019-01-13,15,False
2019-01-14,24,False
2019-01-15,20,False
2019-01-16,24,False
2019-01-17,31,False
2019-01-18,24,False
2019-01-19,16,False
2019-01-20,22,False
2019-01-21,14,False
2019-01-22,40,False
2019-01-23,80,False
2019-01-24,100,False
2019-01-25,45,False
2019-01-26,12,False
2019-01-27,8,False
2019-01-28,27,False
2019-01-29,36,False
2019-01-30,47,False
2019-01-31,51,False
