date,GOOG stock,isPartial
2012-09-01,7,False
2012-09-02,7,False
2012-09-03,6,False
2012-09-04,35,False
2012-09-05,18,False
2012-09-06,24,False
2012-09-07,51,False
2012-09-08,29,False
2012-09-09,14,False
2012-09-10,75,False
2012-09-11,18,False
2012-09-12,41,False
2012-09-13,47,False
2012-09-14,24,False
2012-09-15,36,False
2012-09-16,14,False
2012-09-17,29,False
2012-09-18,35,False
2012-09-19,64,False
2012-09-20,30,False
2012-09-21,37,False
2012-09-22,21,False
2012-09-23,27,False
2012-09-24,35,False
2012-09-25,52,False
2012-09-26,100,False
2012-09-27,41,False
2012-09-28,55,False
2012-09-29,7,False
2012-09-30,21,False
