date,ADBE stock,isPartial
2013-09-01,0,False
2013-09-02,0,False
2013-09-03,23,False
2013-09-04,46,False
2013-09-05,0,False
2013-09-06,0,False
2013-09-07,0,False
2013-09-08,0,False
2013-09-09,23,False
2013-09-10,0,False
2013-09-11,22,False
2013-09-12,22,False
2013-09-13,0,False
2013-09-14,0,False
2013-09-15,0,False
2013-09-16,22,False
2013-09-17,22,False
2013-09-18,100,False
2013-09-19,34,False
2013-09-20,24,False
2013-09-21,0,False
2013-09-22,26,False
2013-09-23,0,False
2013-09-24,22,False
2013-09-25,22,False
2013-09-26,0,False
2013-09-27,48,False
2013-09-28,0,False
2013-09-29,0,False
2013-09-30,44,False
