date,GOOG stock,isPartial
2015-09-01,100,False
2015-09-02,71,False
2015-09-03,72,False
2015-09-04,62,False
2015-09-05,26,False
2015-09-06,8,False
2015-09-07,21,False
2015-09-08,72,False
2015-09-09,50,False
2015-09-10,44,False
2015-09-11,45,False
2015-09-12,23,False
2015-09-13,15,False
2015-09-14,34,False
2015-09-15,56,False
2015-09-16,43,False
2015-09-17,39,False
2015-09-18,38,False
2015-09-19,20,False
2015-09-20,20,False
2015-09-21,36,False
2015-09-22,41,False
2015-09-23,37,False
2015-09-24,38,False
2015-09-25,53,False
2015-09-26,13,False
2015-09-27,20,False
2015-09-28,49,False
2015-09-29,64,False
2015-09-30,30,False
