date,MSFT stock,isPartial
2014-12-01,52,False
2014-12-02,93,False
2014-12-03,53,False
2014-12-04,73,False
2014-12-05,92,False
2014-12-06,18,False
2014-12-07,27,False
2014-12-08,38,False
2014-12-09,41,False
2014-12-10,79,False
2014-12-11,58,False
2014-12-12,80,False
2014-12-13,27,False
2014-12-14,27,False
2014-12-15,27,False
2014-12-16,73,False
2014-12-17,59,False
2014-12-18,80,False
2014-12-19,100,False
2014-12-20,14,False
2014-12-21,9,False
2014-12-22,53,False
2014-12-23,29,False
2014-12-24,61,False
2014-12-25,20,False
2014-12-26,50,False
2014-12-27,28,False
2014-12-28,37,False
2014-12-29,49,False
2014-12-30,41,False
2014-12-31,32,False
