date,COST stock,isPartial
2015-01-01,49,False
2015-01-02,57,False
2015-01-03,58,False
2015-01-04,50,False
2015-01-05,60,False
2015-01-06,78,False
2015-01-07,77,False
2015-01-08,59,False
2015-01-09,53,False
2015-01-10,41,False
2015-01-11,70,False
2015-01-12,58,False
2015-01-13,82,False
2015-01-14,67,False
2015-01-15,57,False
2015-01-16,55,False
2015-01-17,58,False
2015-01-18,45,False
2015-01-19,65,False
2015-01-20,75,False
2015-01-21,79,False
2015-01-22,70,False
2015-01-23,74,False
2015-01-24,72,False
2015-01-25,43,False
2015-01-26,60,False
2015-01-27,74,False
2015-01-28,76,False
2015-01-29,100,False
2015-01-30,75,False
2015-01-31,80,False
