date,INTC stock,isPartial
2018-01-01,4,False
2018-01-02,22,False
2018-01-03,69,False
2018-01-04,86,False
2018-01-05,71,False
2018-01-06,15,False
2018-01-07,12,False
2018-01-08,35,False
2018-01-09,36,False
2018-01-10,39,False
2018-01-11,33,False
2018-01-12,36,False
2018-01-13,16,False
2018-01-14,4,False
2018-01-15,8,False
2018-01-16,28,False
2018-01-17,34,False
2018-01-18,29,False
2018-01-19,25,False
2018-01-20,9,False
2018-01-21,4,False
2018-01-22,22,False
2018-01-23,33,False
2018-01-24,35,False
2018-01-25,60,False
2018-01-26,100,False
2018-01-27,21,False
2018-01-28,8,False
2018-01-29,46,False
2018-01-30,31,False
2018-01-31,36,False
