date,ATVI stock,isPartial
2013-12-01,0,False
2013-12-02,39,False
2013-12-03,40,False
2013-12-04,81,False
2013-12-05,0,False
2013-12-06,0,False
2013-12-07,0,False
2013-12-08,0,False
2013-12-09,41,False
2013-12-10,81,False
2013-12-11,41,False
2013-12-12,42,False
2013-12-13,43,False
2013-12-14,100,False
2013-12-15,0,False
2013-12-16,61,False
2013-12-17,0,False
2013-12-18,42,False
2013-12-19,87,False
2013-12-20,91,False
2013-12-21,0,False
2013-12-22,51,False
2013-12-23,91,False
2013-12-24,50,False
2013-12-25,55,False
2013-12-26,94,False
2013-12-27,91,False
2013-12-28,0,False
2013-12-29,0,False
2013-12-30,0,False
2013-12-31,100,False
