date,SIRI stock,isPartial
2018-05-01,43,False
2018-05-02,49,False
2018-05-03,61,False
2018-05-04,85,False
2018-05-05,24,False
2018-05-06,34,False
2018-05-07,59,False
2018-05-08,47,False
2018-05-09,56,False
2018-05-10,92,False
2018-05-11,91,False
2018-05-12,21,False
2018-05-13,16,False
2018-05-14,70,False
2018-05-15,70,False
2018-05-16,68,False
2018-05-17,75,False
2018-05-18,71,False
2018-05-19,24,False
2018-05-20,12,False
2018-05-21,76,False
2018-05-22,94,False
2018-05-23,80,False
2018-05-24,83,False
2018-05-25,60,False
2018-05-26,16,False
2018-05-27,16,False
2018-05-28,9,False
2018-05-29,47,False
2018-05-30,72,False
2018-05-31,100,False
