date,TXN stock,isPartial
2016-02-01,98,False
2016-02-02,59,False
2016-02-03,53,False
2016-02-04,67,False
2016-02-05,69,False
2016-02-06,0,False
2016-02-07,0,False
2016-02-08,54,False
2016-02-09,80,False
2016-02-10,80,False
2016-02-11,100,False
2016-02-12,41,False
2016-02-13,45,False
2016-02-14,0,False
2016-02-15,40,False
2016-02-16,65,False
2016-02-17,66,False
2016-02-18,39,False
2016-02-19,40,False
2016-02-20,45,False
2016-02-21,0,False
2016-02-22,52,False
2016-02-23,64,False
2016-02-24,78,False
2016-02-25,59,False
2016-02-26,41,False
2016-02-27,89,False
2016-02-28,44,False
2016-02-29,57,False
