date,TSLA stock,isPartial
2015-02-01,8,False
2015-02-02,28,False
2015-02-03,37,False
2015-02-04,32,False
2015-02-05,28,False
2015-02-06,37,False
2015-02-07,11,False
2015-02-08,5,False
2015-02-09,30,False
2015-02-10,39,False
2015-02-11,61,False
2015-02-12,100,False
2015-02-13,57,False
2015-02-14,14,False
2015-02-15,20,False
2015-02-16,17,False
2015-02-17,43,False
2015-02-18,33,False
2015-02-19,55,False
2015-02-20,40,False
2015-02-21,6,False
2015-02-22,14,False
2015-02-23,23,False
2015-02-24,51,False
2015-02-25,37,False
2015-02-26,44,False
2015-02-27,36,False
2015-02-28,11,False
