date,AMD stock,isPartial
2017-04-01,17,False
2017-04-02,13,False
2017-04-03,63,False
2017-04-04,66,False
2017-04-05,69,False
2017-04-06,100,False
2017-04-07,76,False
2017-04-08,19,False
2017-04-09,13,False
2017-04-10,58,False
2017-04-11,83,False
2017-04-12,71,False
2017-04-13,72,False
2017-04-14,28,False
2017-04-15,12,False
2017-04-16,9,False
2017-04-17,56,False
2017-04-18,67,False
2017-04-19,55,False
2017-04-20,52,False
2017-04-21,51,False
2017-04-22,16,False
2017-04-23,11,False
2017-04-24,46,False
2017-04-25,59,False
2017-04-26,55,False
2017-04-27,56,False
2017-04-28,59,False
2017-04-29,20,False
2017-04-30,14,False
