date,MAT stock,isPartial
2015-02-01,0,False
2015-02-02,25,False
2015-02-03,25,False
2015-02-04,25,False
2015-02-05,25,False
2015-02-06,26,False
2015-02-07,45,False
2015-02-08,29,False
2015-02-09,0,False
2015-02-10,25,False
2015-02-11,100,False
2015-02-12,51,False
2015-02-13,27,False
2015-02-14,0,False
2015-02-15,0,False
2015-02-16,26,False
2015-02-17,39,False
2015-02-18,25,False
2015-02-19,51,False
2015-02-20,27,False
2015-02-21,0,False
2015-02-22,29,False
2015-02-23,25,False
2015-02-24,49,False
2015-02-25,50,False
2015-02-26,25,False
2015-02-27,52,False
2015-02-28,29,False
