date,EA stock,isPartial
2015-05-01,43,False
2015-05-02,25,False
2015-05-03,30,False
2015-05-04,34,False
2015-05-05,63,False
2015-05-06,100,False
2015-05-07,60,False
2015-05-08,76,False
2015-05-09,30,False
2015-05-10,38,False
2015-05-11,44,False
2015-05-12,70,False
2015-05-13,46,False
2015-05-14,34,False
2015-05-15,66,False
2015-05-16,53,False
2015-05-17,22,False
2015-05-18,41,False
2015-05-19,58,False
2015-05-20,46,False
2015-05-21,59,False
2015-05-22,31,False
2015-05-23,30,False
2015-05-24,15,False
2015-05-25,13,False
2015-05-26,12,False
2015-05-27,62,False
2015-05-28,29,False
2015-05-29,22,False
2015-05-30,30,False
2015-05-31,22,False
