date,HAS stock,isPartial
2015-03-01,37,False
2015-03-02,87,False
2015-03-03,100,False
2015-03-04,54,False
2015-03-05,49,False
2015-03-06,65,False
2015-03-07,43,False
2015-03-08,44,False
2015-03-09,84,False
2015-03-10,53,False
2015-03-11,60,False
2015-03-12,64,False
2015-03-13,54,False
2015-03-14,54,False
2015-03-15,54,False
2015-03-16,74,False
2015-03-17,53,False
2015-03-18,58,False
2015-03-19,53,False
2015-03-20,62,False
2015-03-21,43,False
2015-03-22,58,False
2015-03-23,72,False
2015-03-24,91,False
2015-03-25,86,False
2015-03-26,39,False
2015-03-27,58,False
2015-03-28,49,False
2015-03-29,51,False
2015-03-30,65,False
2015-03-31,38,False
