date,GILD stock,isPartial
2017-01-01,11,False
2017-01-02,9,False
2017-01-03,51,False
2017-01-04,69,False
2017-01-05,51,False
2017-01-06,65,False
2017-01-07,7,False
2017-01-08,13,False
2017-01-09,58,False
2017-01-10,52,False
2017-01-11,55,False
2017-01-12,64,False
2017-01-13,69,False
2017-01-14,27,False
2017-01-15,7,False
2017-01-16,14,False
2017-01-17,48,False
2017-01-18,45,False
2017-01-19,66,False
2017-01-20,44,False
2017-01-21,13,False
2017-01-22,16,False
2017-01-23,59,False
2017-01-24,100,False
2017-01-25,77,False
2017-01-26,71,False
2017-01-27,65,False
2017-01-28,10,False
2017-01-29,20,False
2017-01-30,70,False
2017-01-31,60,False
