date,MCD stock,isPartial
2017-11-01,97,False
2017-11-02,80,False
2017-11-03,68,False
2017-11-04,23,False
2017-11-05,18,False
2017-11-06,48,False
2017-11-07,100,False
2017-11-08,78,False
2017-11-09,65,False
2017-11-10,80,False
2017-11-11,14,False
2017-11-12,32,False
2017-11-13,72,False
2017-11-14,83,False
2017-11-15,48,False
2017-11-16,60,False
2017-11-17,80,False
2017-11-18,14,False
2017-11-19,18,False
2017-11-20,88,False
2017-11-21,48,False
2017-11-22,45,False
2017-11-23,17,False
2017-11-24,25,False
2017-11-25,28,False
2017-11-26,14,False
2017-11-27,43,False
2017-11-28,67,False
2017-11-29,52,False
2017-11-30,77,False
