date,MCD stock,isPartial
2015-08-01,36,False
2015-08-02,18,False
2015-08-03,15,False
2015-08-04,44,False
2015-08-05,15,False
2015-08-06,75,False
2015-08-07,47,False
2015-08-08,18,False
2015-08-09,35,False
2015-08-10,59,False
2015-08-11,30,False
2015-08-12,59,False
2015-08-13,30,False
2015-08-14,54,False
2015-08-15,35,False
2015-08-16,17,False
2015-08-17,37,False
2015-08-18,80,False
2015-08-19,74,False
2015-08-20,29,False
2015-08-21,61,False
2015-08-22,26,False
2015-08-23,25,False
2015-08-24,85,False
2015-08-25,100,False
2015-08-26,36,False
2015-08-27,44,False
2015-08-28,68,False
2015-08-29,35,False
2015-08-30,0,False
2015-08-31,36,False
