date,SIRI stock,isPartial
2014-11-01,36,False
2014-11-02,0,False
2014-11-03,65,False
2014-11-04,88,False
2014-11-05,59,False
2014-11-06,59,False
2014-11-07,68,False
2014-11-08,35,False
2014-11-09,43,False
2014-11-10,59,False
2014-11-11,34,False
2014-11-12,49,False
2014-11-13,98,False
2014-11-14,77,False
2014-11-15,47,False
2014-11-16,28,False
2014-11-17,39,False
2014-11-18,100,False
2014-11-19,51,False
2014-11-20,80,False
2014-11-21,72,False
2014-11-22,29,False
2014-11-23,34,False
2014-11-24,53,False
2014-11-25,83,False
2014-11-26,49,False
2014-11-27,20,False
2014-11-28,47,False
2014-11-29,26,False
2014-11-30,17,False
