date,MSFT stock,isPartial
2012-06-01,45,False
2012-06-02,40,False
2012-06-03,0,False
2012-06-04,21,False
2012-06-05,32,False
2012-06-06,53,False
2012-06-07,27,False
2012-06-08,45,False
2012-06-09,13,False
2012-06-10,13,False
2012-06-11,42,False
2012-06-12,47,False
2012-06-13,16,False
2012-06-14,27,False
2012-06-15,45,False
2012-06-16,13,False
2012-06-17,27,False
2012-06-18,68,False
2012-06-19,100,False
2012-06-20,86,False
2012-06-21,38,False
2012-06-22,68,False
2012-06-23,27,False
2012-06-24,27,False
2012-06-25,21,False
2012-06-26,42,False
2012-06-27,32,False
2012-06-28,43,False
2012-06-29,51,False
2012-06-30,14,False
