date,MU stock,isPartial
2017-05-01,73,False
2017-05-02,77,False
2017-05-03,80,False
2017-05-04,72,False
2017-05-05,56,False
2017-05-06,15,False
2017-05-07,25,False
2017-05-08,73,False
2017-05-09,73,False
2017-05-10,100,False
2017-05-11,60,False
2017-05-12,64,False
2017-05-13,4,False
2017-05-14,21,False
2017-05-15,74,False
2017-05-16,52,False
2017-05-17,86,False
2017-05-18,81,False
2017-05-19,83,False
2017-05-20,20,False
2017-05-21,11,False
2017-05-22,40,False
2017-05-23,58,False
2017-05-24,60,False
2017-05-25,88,False
2017-05-26,68,False
2017-05-27,14,False
2017-05-28,21,False
2017-05-29,12,False
2017-05-30,79,False
2017-05-31,91,False
