date,MU stock,isPartial
2014-07-01,63,False
2014-07-02,84,False
2014-07-03,58,False
2014-07-04,55,False
2014-07-05,28,False
2014-07-06,0,False
2014-07-07,60,False
2014-07-08,100,False
2014-07-09,78,False
2014-07-10,64,False
2014-07-11,35,False
2014-07-12,20,False
2014-07-13,13,False
2014-07-14,41,False
2014-07-15,96,False
2014-07-16,77,False
2014-07-17,80,False
2014-07-18,55,False
2014-07-19,42,False
2014-07-20,14,False
2014-07-21,52,False
2014-07-22,52,False
2014-07-23,69,False
2014-07-24,84,False
2014-07-25,80,False
2014-07-26,23,False
2014-07-27,14,False
2014-07-28,72,False
2014-07-29,91,False
2014-07-30,53,False
2014-07-31,99,False
