date,INTC stock,isPartial
2018-10-01,31,False
2018-10-02,49,False
2018-10-03,43,False
2018-10-04,32,False
2018-10-05,30,False
2018-10-06,8,False
2018-10-07,6,False
2018-10-08,39,False
2018-10-09,38,False
2018-10-10,36,False
2018-10-11,40,False
2018-10-12,37,False
2018-10-13,8,False
2018-10-14,5,False
2018-10-15,20,False
2018-10-16,30,False
2018-10-17,32,False
2018-10-18,25,False
2018-10-19,29,False
2018-10-20,7,False
2018-10-21,3,False
2018-10-22,27,False
2018-10-23,30,False
2018-10-24,35,False
2018-10-25,100,False
2018-10-26,70,False
2018-10-27,12,False
2018-10-28,7,False
2018-10-29,23,False
2018-10-30,37,False
2018-10-31,44,False
