date,TWTR,isPartial
2012-10-01,40,False
2012-10-02,14,False
2012-10-03,0,False
2012-10-04,26,False
2012-10-05,14,False
2012-10-06,16,False
2012-10-07,15,False
2012-10-08,52,False
2012-10-09,26,False
2012-10-10,0,False
2012-10-11,26,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,31,False
2012-10-15,0,False
2012-10-16,13,False
2012-10-17,13,False
2012-10-18,13,False
2012-10-19,0,False
2012-10-20,0,False
2012-10-21,31,False
2012-10-22,26,False
2012-10-23,26,False
2012-10-24,26,False
2012-10-25,26,False
2012-10-26,42,False
2012-10-27,16,False
2012-10-28,45,False
2012-10-29,100,False
2012-10-30,25,False
2012-10-31,13,False
