,date,INTC,isPartial
20,2012-06-21,12.07,False
21,2012-06-22,11.22,False
22,2012-06-23,5.95,False
23,2012-06-24,0.0,False
24,2012-06-25,9.01,False
25,2012-06-26,11.05,False
26,2012-06-27,6.630000000000001,False
27,2012-06-28,10.030000000000001,False
28,2012-06-29,10.540000000000001,False
29,2012-06-30,2.5500000000000003,False
0,2012-07-01,1.7999999999999998,False
1,2012-07-02,3.78,False
2,2012-07-03,6.84,False
3,2012-07-04,4.68,False
4,2012-07-05,6.4799999999999995,False
5,2012-07-06,5.9399999999999995,False
6,2012-07-07,2.16,False
7,2012-07-08,1.26,False
8,2012-07-09,7.92,False
9,2012-07-10,8.64,False
10,2012-07-11,5.58,False
11,2012-07-12,9.18,False
12,2012-07-13,9.36,False
13,2012-07-14,2.88,False
14,2012-07-15,2.16,False
15,2012-07-16,8.64,False
16,2012-07-17,18.0,False
17,2012-07-18,17.82,False
18,2012-07-19,9.54,False
19,2012-07-20,7.739999999999999,False
20,2012-07-21,1.98,False
21,2012-07-22,2.88,False
22,2012-07-23,7.92,False
23,2012-07-24,8.1,False
24,2012-07-25,8.1,False
25,2012-07-26,6.4799999999999995,False
26,2012-07-27,10.26,False
27,2012-07-28,2.88,False
28,2012-07-29,3.06,False
29,2012-07-30,7.739999999999999,False
30,2012-07-31,10.799999999999999,False
0,2012-08-01,8.48,False
1,2012-08-02,9.76,False
2,2012-08-03,9.76,False
3,2012-08-04,5.76,False
4,2012-08-05,4.8,False
5,2012-08-06,12.8,False
6,2012-08-07,8.8,False
7,2012-08-08,6.5600000000000005,False
8,2012-08-09,11.36,False
9,2012-08-10,6.4,False
10,2012-08-11,4.8,False
11,2012-08-12,2.4,False
12,2012-08-13,9.6,False
13,2012-08-14,12.64,False
14,2012-08-15,16.0,False
15,2012-08-16,14.56,False
16,2012-08-17,10.56,False
17,2012-08-18,6.72,False
18,2012-08-19,2.4,False
19,2012-08-20,11.52,False
20,2012-08-21,8.48,False
21,2012-08-22,10.72,False
22,2012-08-23,11.68,False
23,2012-08-24,10.08,False
24,2012-08-25,7.84,False
25,2012-08-26,3.68,False
26,2012-08-27,10.08,False
27,2012-08-28,10.4,False
28,2012-08-29,14.24,False
29,2012-08-30,7.68,False
30,2012-08-31,11.36,False
0,2012-09-01,1.52,False
1,2012-09-02,2.2800000000000002,False
2,2012-09-03,3.8,False
3,2012-09-04,5.89,False
4,2012-09-05,8.93,False
5,2012-09-06,9.120000000000001,False
6,2012-09-07,18.05,False
7,2012-09-08,5.13,False
8,2012-09-09,2.09,False
9,2012-09-10,19.0,False
10,2012-09-11,13.49,False
11,2012-09-12,11.78,False
12,2012-09-13,9.5,False
13,2012-09-14,13.68,False
14,2012-09-15,4.37,False
15,2012-09-16,4.37,False
16,2012-09-17,10.07,False
17,2012-09-18,12.35,False
18,2012-09-19,15.39,False
19,2012-09-20,12.540000000000001,False
20,2012-09-21,9.31,False
21,2012-09-22,4.37,False
22,2012-09-23,3.42,False
23,2012-09-24,13.49,False
24,2012-09-25,11.02,False
25,2012-09-26,5.32,False
26,2012-09-27,4.75,False
27,2012-09-28,6.84,False
28,2012-09-29,4.18,False
29,2012-09-30,2.85,False
0,2012-10-01,8.370000000000001,False
1,2012-10-02,10.260000000000002,False
2,2012-10-03,9.18,False
3,2012-10-04,10.260000000000002,False
4,2012-10-05,14.31,False
5,2012-10-06,4.32,False
6,2012-10-07,4.32,False
7,2012-10-08,7.290000000000001,False
8,2012-10-09,12.690000000000001,False
9,2012-10-10,14.31,False
10,2012-10-11,13.23,False
11,2012-10-12,11.07,False
12,2012-10-13,4.86,False
13,2012-10-14,3.24,False
14,2012-10-15,12.96,False
15,2012-10-16,27.0,False
16,2012-10-17,25.650000000000002,False
17,2012-10-18,14.580000000000002,False
18,2012-10-19,13.770000000000001,False
19,2012-10-20,6.75,False
20,2012-10-21,3.5100000000000002,False
21,2012-10-22,10.8,False
22,2012-10-23,10.8,False
23,2012-10-24,9.450000000000001,False
24,2012-10-25,10.260000000000002,False
25,2012-10-26,9.72,False
26,2012-10-27,2.7,False
27,2012-10-28,2.16,False
28,2012-10-29,5.67,False
29,2012-10-30,7.290000000000001,False
30,2012-10-31,11.07,False
0,2012-11-01,16.0,False
1,2012-11-02,16.25,False
2,2012-11-03,4.25,False
3,2012-11-04,2.0,False
4,2012-11-05,15.25,False
5,2012-11-06,14.75,False
6,2012-11-07,15.25,False
7,2012-11-08,17.0,False
8,2012-11-09,12.75,False
9,2012-11-10,3.75,False
10,2012-11-11,3.25,False
11,2012-11-12,8.25,False
12,2012-11-13,16.25,False
13,2012-11-14,13.75,False
14,2012-11-15,13.75,False
15,2012-11-16,19.0,False
16,2012-11-17,6.75,False
17,2012-11-18,3.75,False
18,2012-11-19,23.25,False
19,2012-11-20,25.0,False
20,2012-11-21,23.75,False
21,2012-11-22,7.0,False
22,2012-11-23,15.5,False
23,2012-11-24,6.75,False
24,2012-11-25,5.75,False
25,2012-11-26,12.0,False
26,2012-11-27,14.25,False
27,2012-11-28,15.5,False
28,2012-11-29,20.25,False
29,2012-11-30,16.75,False
0,2012-12-01,6.9,False
1,2012-12-02,6.44,False
2,2012-12-03,23.0,False
3,2012-12-04,17.48,False
4,2012-12-05,19.09,False
5,2012-12-06,21.39,False
6,2012-12-07,17.02,False
7,2012-12-08,5.98,False
8,2012-12-09,6.67,False
9,2012-12-10,16.330000000000002,False
10,2012-12-11,19.09,False
11,2012-12-12,16.79,False
12,2012-12-13,15.180000000000001,False
13,2012-12-14,22.540000000000003,False
14,2012-12-15,6.9,False
15,2012-12-16,7.36,False
16,2012-12-17,14.950000000000001,False
17,2012-12-18,21.39,False
18,2012-12-19,20.470000000000002,False
19,2012-12-20,18.630000000000003,False
20,2012-12-21,17.25,False
21,2012-12-22,7.82,False
22,2012-12-23,5.75,False
23,2012-12-24,14.030000000000001,False
24,2012-12-25,7.13,False
25,2012-12-26,16.79,False
26,2012-12-27,16.330000000000002,False
27,2012-12-28,12.190000000000001,False
28,2012-12-29,4.83,False
29,2012-12-30,5.98,False
30,2012-12-31,16.330000000000002,False
0,2013-01-01,7.13,False
