date,COST stock,isPartial
2012-04-01,67,False
2012-04-02,95,False
2012-04-03,68,False
2012-04-04,90,False
2012-04-05,97,False
2012-04-06,92,False
2012-04-07,52,False
2012-04-08,50,False
2012-04-09,75,False
2012-04-10,72,False
2012-04-11,85,False
2012-04-12,84,False
2012-04-13,89,False
2012-04-14,66,False
2012-04-15,63,False
2012-04-16,100,False
2012-04-17,81,False
2012-04-18,67,False
2012-04-19,58,False
2012-04-20,69,False
2012-04-21,39,False
2012-04-22,51,False
2012-04-23,47,False
2012-04-24,56,False
2012-04-25,72,False
2012-04-26,69,False
2012-04-27,78,False
2012-04-28,28,False
2012-04-29,49,False
2012-04-30,73,False
