date,AMZN stock,isPartial
2016-08-01,100,False
2016-08-02,89,False
2016-08-03,74,False
2016-08-04,64,False
2016-08-05,79,False
2016-08-06,15,False
2016-08-07,15,False
2016-08-08,70,False
2016-08-09,55,False
2016-08-10,40,False
2016-08-11,64,False
2016-08-12,56,False
2016-08-13,11,False
2016-08-14,15,False
2016-08-15,46,False
2016-08-16,51,False
2016-08-17,46,False
2016-08-18,31,False
2016-08-19,51,False
2016-08-20,15,False
2016-08-21,7,False
2016-08-22,42,False
2016-08-23,65,False
2016-08-24,41,False
2016-08-25,43,False
2016-08-26,35,False
2016-08-27,14,False
2016-08-28,7,False
2016-08-29,54,False
2016-08-30,35,False
2016-08-31,44,False
