date,HD stock,isPartial
2016-04-01,76,False
2016-04-02,62,False
2016-04-03,68,False
2016-04-04,78,False
2016-04-05,53,False
2016-04-06,97,False
2016-04-07,79,False
2016-04-08,94,False
2016-04-09,69,False
2016-04-10,43,False
2016-04-11,87,False
2016-04-12,59,False
2016-04-13,63,False
2016-04-14,71,False
2016-04-15,83,False
2016-04-16,32,False
2016-04-17,31,False
2016-04-18,67,False
2016-04-19,83,False
2016-04-20,100,False
2016-04-21,83,False
2016-04-22,74,False
2016-04-23,69,False
2016-04-24,43,False
2016-04-25,67,False
2016-04-26,75,False
2016-04-27,51,False
2016-04-28,69,False
2016-04-29,57,False
2016-04-30,48,False
