date,WDC stock,isPartial
2017-06-01,72,False
2017-06-02,68,False
2017-06-03,20,False
2017-06-04,8,False
2017-06-05,47,False
2017-06-06,29,False
2017-06-07,39,False
2017-06-08,29,False
2017-06-09,62,False
2017-06-10,24,False
2017-06-11,8,False
2017-06-12,69,False
2017-06-13,68,False
2017-06-14,84,False
2017-06-15,65,False
2017-06-16,52,False
2017-06-17,16,False
2017-06-18,16,False
2017-06-19,53,False
2017-06-20,51,False
2017-06-21,93,False
2017-06-22,58,False
2017-06-23,64,False
2017-06-24,47,False
2017-06-25,8,False
2017-06-26,65,False
2017-06-27,69,False
2017-06-28,100,False
2017-06-29,62,False
2017-06-30,42,False
