date,FB stock,isPartial
2015-03-01,20,False
2015-03-02,88,False
2015-03-03,71,False
2015-03-04,71,False
2015-03-05,68,False
2015-03-06,71,False
2015-03-07,30,False
2015-03-08,8,False
2015-03-09,45,False
2015-03-10,71,False
2015-03-11,70,False
2015-03-12,58,False
2015-03-13,58,False
2015-03-14,21,False
2015-03-15,14,False
2015-03-16,73,False
2015-03-17,70,False
2015-03-18,89,False
2015-03-19,98,False
2015-03-20,98,False
2015-03-21,43,False
2015-03-22,23,False
2015-03-23,82,False
2015-03-24,96,False
2015-03-25,95,False
2015-03-26,100,False
2015-03-27,72,False
2015-03-28,32,False
2015-03-29,26,False
2015-03-30,67,False
2015-03-31,77,False
