date,INTC stock,isPartial
2016-12-01,40,False
2016-12-02,49,False
2016-12-03,8,False
2016-12-04,14,False
2016-12-05,25,False
2016-12-06,33,False
2016-12-07,61,False
2016-12-08,75,False
2016-12-09,84,False
2016-12-10,8,False
2016-12-11,15,False
2016-12-12,46,False
2016-12-13,85,False
2016-12-14,100,False
2016-12-15,55,False
2016-12-16,7,False
2016-12-17,24,False
2016-12-18,16,False
2016-12-19,84,False
2016-12-20,78,False
2016-12-21,50,False
2016-12-22,51,False
2016-12-23,38,False
2016-12-24,9,False
2016-12-25,9,False
2016-12-26,23,False
2016-12-27,43,False
2016-12-28,50,False
2016-12-29,58,False
2016-12-30,53,False
2016-12-31,8,False
