date,ODP stock,isPartial
2017-11-01,70,False
2017-11-02,70,False
2017-11-03,35,False
2017-11-04,78,False
2017-11-05,0,False
2017-11-06,0,False
2017-11-07,66,False
2017-11-08,34,False
2017-11-09,100,False
2017-11-10,70,False
2017-11-11,38,False
2017-11-12,0,False
2017-11-13,50,False
2017-11-14,33,False
2017-11-15,0,False
2017-11-16,50,False
2017-11-17,35,False
2017-11-18,0,False
2017-11-19,0,False
2017-11-20,0,False
2017-11-21,66,False
2017-11-22,67,False
2017-11-23,34,False
2017-11-24,0,False
2017-11-25,0,False
2017-11-26,0,False
2017-11-27,65,False
2017-11-28,33,False
2017-11-29,50,False
2017-11-30,100,False
